,Color,Description,Latitude,Longitude,Movie
0,#D00212,"Based on a popular Tom Clancy novel, this movie with Sean Connery and Alec Baldwin tracks a Russian sub captain named Marko Ramius who heads out in his nearly invisible submarine ""Red October"", but an American submarine detects it and sets out to see if Sean is planning to attack the United States. Parts of this suspenseful 90's classic were shot in Port Angeles and Keyport, WA!",48.11815,-123.43074,"""The Hunt For Red October"", 1990"
1,#D00212,"Based on a popular Tom Clancy novel, this movie with Sean Connery and Alec Baldwin tracks a Russian sub captain named Marko Ramius who heads out in his nearly invisible submarine ""Red October"", but an American submarine detects it and sets out to see if Sean is planning to attack the United States. Parts of this suspenseful 90's classic were shot in Port Angeles and Keyport, WA!",47.70204,-122.62098,"""The Hunt For Red October"", 1990"
2,#D00212,"Based on a popular Tom Clancy novel, this movie with Sean Connery and Alec Baldwin tracks a Russian sub captain named Marko Ramius who heads out in his nearly invisible submarine ""Red October"", but an American submarine detects it and sets out to see if Sean is planning to attack the United States. Parts of this suspenseful 90's classic were shot in Port Angeles and Keyport, WA!",39.76,-98.5,"""The Hunt For Red October"", 1990"
3,#C71DE4,Monroe is a city in Snohomish County,48.04602,-121.72218,"""The Butterfly Effect"", 2004"
4,#B901EF,"If the title doesn't ring a bell, chances are you've still seen the legendary scene of a guy standing outside his lover's window with a boombox. The motion picture details the forbidden romance between the guy and girl in this scene, due to her overbearing father.  It was only shot in 3 locations, one of which included Seattle, WA!",47.60621,-122.33207,"""Say Anything..."", 1989"
5,#DA7B4C,"The second hilarious segment of the renowned Austin Powers series was not entirely shot in Washington, but Dr. Evil's lair was located atop the Space Needle in Seattle.  Yeah baby!",47.50012,-120.50147,"""Austin Powers: The Spy Who Shagged Me"", 1999"
6,#DA7B4C,"The second hilarious segment of the renowned Austin Powers series was not entirely shot in Washington, but Dr. Evil's lair was located atop the Space Needle in Seattle.  Yeah baby!",47.60621,-122.33207,"""Austin Powers: The Spy Who Shagged Me"", 1999"
7,#D3703F,"In a post-apocalyptic time, Kevin Costner plays a postman who continues to deliver old mail. Some of the scenes in this enjoyable action/adventure were filmed in Anacortes and Metaline Falls, Washington!",48.5126,-122.61267,"""The Postman"", 1997"
8,#D3703F,"In a post-apocalyptic time, Kevin Costner plays a postman who continues to deliver old mail. Some of the scenes in this enjoyable action/adventure were filmed in Anacortes and Metaline Falls, Washington!",48.86381,-117.37247,"""The Postman"", 1997"
9,#D3703F,"In a post-apocalyptic time, Kevin Costner plays a postman who continues to deliver old mail. Some of the scenes in this enjoyable action/adventure were filmed in Anacortes and Metaline Falls, Washington!",47.50012,-120.50147,"""The Postman"", 1997"
